"Response","Model","Observed","Expected","SD","p_value"
"Hoverflies","base",0.110899618989742,-0.0454545454545455,0.0632132844370394,0.0133819875737053
"Hoverflies","mem1",0.0907542254828658,-0.0454545454545455,0.0636736602172726,0.0324219191435731
"Hoverflies","mem2",0.0536612227759641,-0.0454545454545455,0.0632008873827669,0.116819195004065
"Beetles","base",0.0808664040398734,-0.0454545454545455,0.0640811401397341,0.0486934997632245
"Beetles","mem1",-0.0166604009147876,-0.0454545454545455,0.0639838743590945,0.652694651473619
"Beetles","mem2",-0.0545093128904925,-0.0454545454545455,0.0637929969168594,0.887127529316868
